0,1,2,3,4,5,6,7,8
2,24,19,6,6,7,14,19,-5
3,22,19,6,4,9,19,19,0
2,20,19,5,5,9,13,20,-7
3,18,19,5,3,11,15,25,-10
3,18,19,4,6,9,9,25,-16
2,17,19,3,8,8,14,18,-4
3,17,19,3,8,8,11,17,-6
3,15,19,3,6,10,17,27,-10
0,40,19,12,4,3,27,14,13
0,36,19,11,3,5,33,18,15
0,36,19,11,3,5,29,17,12
2,33,19,10,3,6,22,18,4
1,31,19,9,4,6,32,18,14
0,31,19,9,4,6,25,21,4
1,31,19,7,10,2,31,21,10
1,30,19,9,3,7,23,21,2
2,28,19,8,4,7,17,17,0
2,26,19,6,8,5,21,21,0
0,25,19,6,7,6,14,21,-7
1,24,19,6,6,7,25,24,1
2,23,19,7,2,10,21,28,-7
1,22,19,6,4,9,15,17,-2
3,20,19,5,5,9,18,26,-8
3,20,19,5,5,9,18,28,-10
3,19,19,4,7,8,16,16,0
2,18,19,4,6,9,13,23,-10
3,16,19,4,4,11,13,21,-8
3,13,19,3,4,12,8,31,-23
0,36,19,11,3,5,35,20,15
0,35,19,10,5,4,33,25,8
1,34,19,10,4,5,28,15,13
0,34,19,10,4,5,23,19,4
0,33,19,10,3,6,32,17,15
1,32,19,9,5,5,27,21,6
1,30,19,9,3,7,20,18,2
2,28,19,7,7,5,23,20,3
1,27,19,8,3,8,23,31,-8
1,26,19,7,5,7,21,20,1
2,24,19,5,9,5,27,33,-6
2,23,19,6,5,8,29,29,0
0,23,19,6,5,8,25,30,-5
3,22,19,6,4,9,21,23,-2
3,22,19,5,7,7,24,28,-4
2,21,19,5,6,8,21,26,-5
3,21,19,4,9,6,18,23,-5
2,19,19,5,4,10,24,32,-8
3,18,19,5,3,11,20,26,-6
3,13,19,3,4,12,12,30,-18
0,39,17,12,3,2,45,20,25
0,35,17,10,5,2,40,19,21
0,35,17,10,5,2,34,17,17
0,35,17,10,5,2,24,7,17
0,26,17,7,5,5,30,22,8
1,25,17,7,4,6,29,25,4
1,25,17,8,1,8,35,32,3
1,24,17,6,6,5,23,23,0
1,23,17,6,5,6,23,29,-6
2,21,17,6,3,8,24,37,-13
2,20,17,5,5,7,30,37,-7
1,19,17,5,4,8,24,27,-3
2,19,17,5,4,8,18,24,-6
3,19,17,5,4,8,18,26,-8
2,18,17,5,3,9,20,31,-11
3,13,17,3,4,10,15,26,-11
2,13,17,2,7,8,15,33,-18
3,12,17,3,3,11,16,28,-12
0,34,17,11,1,5,26,21,5
0,34,17,10,4,3,33,20,13
0,31,17,9,4,4,32,19,13
1,30,17,10,0,7,32,26,6
0,28,17,8,4,5,36,19,17
0,28,17,7,7,3,28,15,13
1,28,17,8,4,5,24,16,8
1,26,17,7,5,5,28,25,3
1,25,17,8,1,8,30,25,5
2,24,17,7,3,7,19,23,-4
2,22,17,6,4,7,24,27,-3
2,21,17,5,6,6,28,26,2
2,21,17,6,3,8,22,26,-4
1,18,17,4,6,7,17,22,-5
2,17,17,4,5,8,20,30,-10
3,14,17,3,5,9,23,35,-12
3,11,17,2,5,10,13,36,-23
3,11,17,2,5,10,14,38,-24
0,44,17,14,2,1,35,12,23
0,38,17,11,5,1,28,9,19
0,36,17,11,3,3,46,21,25
0,31,17,8,7,2,20,12,8
1,26,17,7,5,5,27,24,3
1,25,17,6,7,4,24,21,3
1,25,17,5,10,2,21,17,4
2,21,17,4,9,4,26,23,3
1,21,17,5,6,6,23,24,-1
2,21,17,6,3,8,24,27,-3
2,20,17,5,5,7,21,25,-4
0,19,17,4,7,6,24,26,-2
2,18,17,4,6,7,17,29,-12
2,16,17,4,4,9,24,26,-2
1,14,17,3,5,9,18,30,-12
3,12,17,3,3,11,24,39,-15
3,12,17,2,6,9,15,31,-16
3,12,17,3,3,11,23,44,-21
0,36,17,11,3,3,29,17,12
0,36,17,11,3,3,47,22,25
0,33,17,10,3,4,30,19,11
0,32,17,9,5,3,28,19,9
1,27,17,7,6,4,28,24,4
0,25,17,7,4,6,28,24,4
1,23,17,4,11,2,21,16,5
2,22,17,5,7,5,23,19,4
1,22,17,5,7,5,21,21,0
2,20,17,4,8,5,22,28,-6
2,20,17,5,5,7,16,26,-10
3,19,17,5,4,8,28,33,-5
2,19,17,4,7,6,12,16,-4
1,18,17,5,3,9,22,30,-8
2,17,17,4,5,8,18,24,-6
3,15,17,4,3,10,13,23,-10
1,13,17,1,10,6,16,22,-6
3,11,17,1,8,8,11,30,-19
0,36,17,10,6,1,31,8,23
0,36,17,11,3,3,42,24,18
0,32,17,9,5,3,24,13,11
1,30,17,9,3,5,32,16,16
0,29,17,7,8,2,26,17,9
2,28,17,8,4,5,19,21,-2
1,27,17,8,3,6,27,28,-1
1,25,17,8,1,8,24,25,-1
1,23,17,5,8,4,19,23,-4
2,21,17,6,3,8,26,30,-4
1,20,17,6,2,9,19,24,-5
0,20,17,5,5,7,30,30,0
2,19,17,5,4,8,25,27,-2
2,18,17,5,3,9,19,38,-19
3,17,17,5,2,10,16,26,-10
3,15,17,4,3,10,21,28,-7
2,15,17,3,6,8,17,27,-10
3,13,17,4,1,12,14,26,-12
1,35,17,11,2,4,42,23,19
0,35,17,10,5,2,39,24,15
0,33,17,10,3,4,27,20,7
0,33,17,10,3,4,26,24,2
1,32,17,10,2,5,36,21,15
1,29,17,7,8,2,27,19,8
